keyword,score
great product,20.129051208496094
great setting,19.806588172912598
good product,19.69844913482666
high hottest setting,18.711409837007523
high setting,18.28139591217041
setting high,18.28139591217041
power great deal,18.168517589569092
good light weight,16.586416244506836
great power,16.166693210601807
great deal light,16.15952467918396
hot air jet,15.786149382591248
high wattage ceramic ionic,15.144545435905457
hot air,14.971283435821533
good unit,14.924391746520996
today great hairdryer,14.877055406570435
powerful great,14.844769954681396
high power,14.64150094985962
power setting,14.59214162826538
setting low,13.894425392150879
low setting,13.894425392150879
good quality material,13.866437911987305
third hot tool bonnet,13.57843416929245
good quality,12.87892460823059
great deal,12.692394256591797
setting nice,12.581860542297363
good job,12.359219074249268
time,12.25594711303711
japanese product,12.123687744140625
loud high pitch scream,12.025270134210587
high quality,11.784334421157837
great investment,11.694356441497803
turbo mode great,11.628535032272339
good range,11.516589879989624
high temperature,11.349411249160767
temperature setting,11.300051927566528
described great,11.10000428557396
great pick,11.096453696489334
good idea,11.025556147098541
good luck,10.967833042144775
high voltage,10.911234021186829
powerful air flow,10.911173582077026
high wattage device,10.878987073898315
high fan,10.767505645751953
good decision,10.7376030087471
high cost,10.696620106697083
good blew,10.687854319810867
amazing product,10.675912261009216
high electric potential,10.663599878549576
setting daily,10.608965873718262
airflow setting,10.608494997024536
lo hot cold,10.487975299358368
hot tool,10.476157188415527
high wattage,10.40596330165863
high outlet,10.238453149795532
multiple setting,10.16303837299347
product commercial,9.920858472585678
lasting product,9.887292861938477
working product,9.880868524312973
alien product,9.876004099845886
disappointing product,9.855597019195557
year warranty,9.713694453239441
hot spot,9.663749277591705
heist setting,9.559275031089783
cord length,9.118033409118652
big full curl,8.578969717025757
solid cord connector,8.273159116506577
couple month,8.241787075996399
expensive ionic hairdryer,8.229181408882141
con air,8.094854593276978
retractable cord junk,7.961319625377655
proper cord,7.871782302856445
low noise level,7.821338772773743
retractable cord,7.5389145612716675
retracted cord,7.284894794225693
nice button position,7.191483408212662
nice attachment,7.188156366348267
protection ionic technology,7.138880550861359
cold air,6.8917877078056335
directional air controller,6.889244019985199
ten month,6.875645935535431
month enever,6.858690619468689
air jet,6.841942191123962
air flow,6.756973505020142
big difference,6.741576433181763
amazing power,6.713554263114929
big noise reckon,6.646652281284332
small light,6.566741704940796
weight easy,6.545713901519775
expensive unit,6.520054459571838
size easy,6.4485087394714355
air throughput,6.417532533407211
low fan,6.380535125732422
light weight,6.326448440551758
star customer service,6.279883146286011
poor quality control,6.2246193289756775
quiet motor,6.218236207962036
ionic technology,6.158961296081543
big con,6.056758403778076
big deal,5.990804433822632
small size,5.861724138259888
