keyword,score
time,18.01161003112793
curl diffuser,17.4208664894104
year,17.103351593017578
product,16.16351318359375
price,13.755965232849121
volumizing finger diffuser,13.637661695480347
allure button,10.529247045516968
rocker button,10.15720009803772
button position,10.135912835597992
button interfere,9.898504167795181
hand piece,9.89600396156311
speed/temperature button,9.849513977766037
thing,8.725793838500977
month,8.64502239227295
power,8.467476844787598
star customer service,7.804314732551575
model number,7.760191798210144
bathroom space,7.255303859710693
beauty tool item,7.20214581489563
salon brand,7.123532295227051
customer service problem,6.962614178657532
model footstep,6.938161730766296
hairdryer,6.768255233764648
job,6.663196086883545
bathroom sink,6.179378151893616
unit,6.130222797393799
minute,5.898318290710449
bathroom floor,5.742567002773285
curl spray,5.687571316957474
week,5.516706466674805
share bathroom,5.376505792140961
order replacement,5.237724542617798
lot,5.149800777435303
style,5.077488422393799
tool bonnet,5.041799902915955
day,4.878939628601074
fan blade shatter,4.253773480653763
brand remember,3.952758312225342
ac2015c t|studio silk,3.9421404600143433
airplane wind tunnel,3.9237361550331116
adapter piece,3.70613032579422
gold bonnet,3.6804046630859375
customer service,3.635116696357727
piece crack,3.5877930521965027
bonnet connection,3.558147042989731
bonnet opening,3.5520994663238525
voltage selector,3.5255556404590607
voltage capability,3.507219076156616
motor,3.487075090408325
wind screen,3.3779137134552
friend house,3.265687346458435
shoulder length,3.2516021132469177
protection technology,3.24117374420166
money garbage,3.1942398846149445
wind tunnel,3.143169641494751
concentrator,3.023216485977173
drawer space,2.7345725893974304
blowdryer scary,2.6637901663780212
technology prevents,2.6186306476593018
roller wrap,2.4208496809005737
wife,2.4105446338653564
fire,2.4025068283081055
daughter,2.3778088092803955
difference,2.3681466579437256
reason,2.350813627243042
yr warranty,2.3390990495681763
t|studio silk,2.3348485231399536
side,2.2826030254364014
ion activation,2.172580361366272
circuit breaker protection,2.1381712555885315
rusk w8less,2.1244242787361145
ion presentation,2.110591471195221
summer cottage,2.0895493030548096
kind,2.07930588722229
towel hook,2.03141987323761
packaging,1.9506330490112305
life saver,1.9449905157089233
march base,1.9428062438964844
family member,1.8358822464942932
amount,1.7745813131332397
element,1.7612038850784302
thumb position,1.726006805896759
phone number,1.721090704202652
size,1.7035788297653198
person,1.6952723264694214
ton,1.6398239135742188
fact,1.624070167541504
outlet,1.6045539379119873
option,1.576673150062561
care regime,1.5663710832595825
output width,1.5576569437980652
dust,1.5516765117645264
description company,1.5512945652008057
beauty term,1.5459847450256348
faint odor,1.5283590257167816
matte tone,1.5014756917953491
search continue,1.4808821380138397
teenage girl,1.4309436082839966
tote bag,1.406702697277069
addition,1.3986738920211792
